"MonYear","Authentic"
"1-2002",36.8529197080292
"1-2003",40.9610204081633
"1-2004",36.1742990654206
"1-2005",36.3909132420091
"1-2006",34.911125
"1-2007",33.9701518987342
"1-2008",38.0722702702703
"1-2009",38.3323776223776
"1-2010",43.4386324786325
"1-2011",34.3521674876847
"10-2002",33.5112068965517
"10-2003",40.6977777777778
"10-2004",35.8538709677419
"10-2005",40.2601675977654
"10-2006",36.0220552147239
"10-2007",36.3549596774194
"10-2008",37.786902173913
"10-2009",34.5558461538462
"10-2010",45.5936923076923
"10-2011",38.7051724137931
"11-2002",44.6614285714286
"11-2003",33.8590322580645
"11-2004",27.0654651162791
"11-2005",38.5553759398496
"11-2006",34.9385444743935
"11-2007",37.5301282051282
"11-2008",43.1285981308411
"11-2009",40.0865648854962
"11-2010",37.1406315789474
"11-2011",28.7174137931034
"12-2002",41.4864220183486
"12-2003",40.6242553191489
"12-2004",37.1827826086957
"12-2005",35.6534217171717
"12-2006",34.7426623376623
"12-2007",32.7463594470046
"12-2008",39.8777822580645
"12-2009",46.2657142857143
"12-2010",35.9404929577465
"12-2011",36.5616
"2-2002",33.6285416666667
"2-2003",36.3162903225806
"2-2004",33.5988073394495
"2-2005",37.4830188679245
"2-2006",33.3303154574132
"2-2007",36.51262086514
"2-2008",38.9649333333333
"2-2009",37.3508670520231
"2-2010",47.1530555555556
"2-2011",37.8489915966387
"3-2002",30.3162857142857
"3-2003",40.1471844660194
"3-2004",37.8
"3-2005",38.0403649635036
"3-2006",35.3504135338346
"3-2007",40.3029761904762
"3-2008",37.8071666666667
"3-2009",37.4475
"3-2010",34.4551546391753
"3-2011",41.6167123287671
"4-2002",44.0151851851852
"4-2003",20.7455882352941
"4-2004",44.0831851851852
"4-2005",37.0593388429752
"4-2006",36.37125
"4-2007",35.9549575070822
"4-2008",36.151610738255
"4-2009",44.9049101796407
"4-2010",44.1783333333333
"4-2011",41.7817391304348
"5-2002",36.2844642857143
"5-2003",33.3962962962963
"5-2004",36.688380952381
"5-2005",38.6160544217687
"5-2006",36.2390144927536
"5-2007",41.486049382716
"5-2008",34.5158385093168
"5-2009",44.5025925925926
"5-2010",34.0719101123596
"5-2011",42.5568269230769
"6-2002",24.885625
"6-2003",41.8317391304348
"6-2004",39.8972164948454
"6-2005",36.1915168539326
"6-2006",36.3893841642229
"6-2007",39.5238341968912
"6-2008",38.6304494382022
"6-2009",40.7388541666667
"6-2010",34.4609589041096
"6-2011",41.0516774193548
"7-2002",27.422
"7-2003",41.2873333333333
"7-2004",35.788202247191
"7-2005",33.1674074074074
"7-2006",38.8294432071269
"7-2007",37.6371518987342
"7-2008",36.2162365591398
"7-2009",34.3547692307692
"7-2010",33.7943307086614
"7-2011",30.8992
"8-2002",35.9973684210526
"8-2003",30.3085106382979
"8-2004",44.1514736842105
"8-2005",35.0505581395349
"8-2006",38.0160497237569
"8-2007",36.9801595744681
"8-2008",34.6338709677419
"8-2009",35.5011764705882
"8-2010",38.8129850746269
"8-2011",39.5871287128713
"9-2002",41.1065151515152
"9-2003",34.1126865671642
"9-2004",41.6315909090909
"9-2005",37.173869047619
"9-2006",38.9535350318471
"9-2007",33.1568965517241
"9-2008",35.2221167883212
"9-2009",41.0459210526316
"9-2010",41.2715714285714
"9-2011",37.5115789473684
