"MonYear","Clout"
"1-2002",68.4630656934307
"1-2003",53.13
"1-2004",57.1216822429907
"1-2005",62.7695890410959
"1-2006",57.06185
"1-2007",54.7833417721519
"1-2008",57.8400540540541
"1-2009",58.812972027972
"1-2010",61.5792307692308
"1-2011",61.1473891625616
"10-2002",66.478275862069
"10-2003",53.8446031746032
"10-2004",54.0809677419355
"10-2005",59.1399441340782
"10-2006",58.0406748466258
"10-2007",59.1961693548387
"10-2008",59.3019565217391
"10-2009",58.015641025641
"10-2010",59.0598461538462
"10-2011",56.4001149425287
"11-2002",51.2475510204082
"11-2003",64.0932258064516
"11-2004",54.7029069767442
"11-2005",59.1325187969925
"11-2006",57.3599460916442
"11-2007",63.2603205128205
"11-2008",58.1322429906542
"11-2009",59.6531297709924
"11-2010",65.6656842105263
"11-2011",66.5924137931034
"12-2002",58.2084403669725
"12-2003",55.4023404255319
"12-2004",61.9915652173913
"12-2005",61.0703787878788
"12-2006",58.3370454545455
"12-2007",59.6908294930876
"12-2008",58.9392741935484
"12-2009",58.175873015873
"12-2010",64.6551408450704
"12-2011",65.51392
"2-2002",67.3910416666667
"2-2003",59.765564516129
"2-2004",61.5112844036697
"2-2005",62.2203773584906
"2-2006",59.7522397476341
"2-2007",58.3554707379135
"2-2008",56.3368888888889
"2-2009",59.8538150289017
"2-2010",57.1573148148148
"2-2011",60.8626050420168
"3-2002",64.9771428571429
"3-2003",52.696213592233
"3-2004",57.6964077669903
"3-2005",61.6634306569343
"3-2006",58.2007518796992
"3-2007",54.0321726190476
"3-2008",55.8672222222222
"3-2009",56.1153125
"3-2010",61.2007216494845
"3-2011",57.3482876712329
"4-2002",58.0386111111111
"4-2003",74.1241176470588
"4-2004",56.8285185185185
"4-2005",61.4461983471074
"4-2006",56.4039453125
"4-2007",56.4937393767705
"4-2008",60.158322147651
"4-2009",58.9235329341317
"4-2010",56.4911403508772
"4-2011",63.6852898550725
"5-2002",61.9344642857143
"5-2003",68.8407407407407
"5-2004",58.2102857142857
"5-2005",56.2963265306122
"5-2006",53.324231884058
"5-2007",59.4730864197531
"5-2008",54.573602484472
"5-2009",55.2222222222222
"5-2010",62.2459550561798
"5-2011",62.6914423076923
"6-2002",62.9746875
"6-2003",54.9982608695652
"6-2004",59.2186597938144
"6-2005",60.2562359550562
"6-2006",56.9466862170088
"6-2007",56.1679274611399
"6-2008",59.1030337078652
"6-2009",51.7269791666667
"6-2010",62.4335616438356
"6-2011",59.2753548387097
"7-2002",71.301
"7-2003",45.5986666666667
"7-2004",68.428202247191
"7-2005",62.189037037037
"7-2006",55.0742538975501
"7-2007",57.7228164556962
"7-2008",60.189247311828
"7-2009",57.9873846153846
"7-2010",59.5370866141732
"7-2011",60.82944
"8-2002",55.825
"8-2003",61.8187234042553
"8-2004",59.5312631578947
"8-2005",61.5339534883721
"8-2006",57.9103314917127
"8-2007",63.4797340425532
"8-2008",56.4888709677419
"8-2009",61.2062745098039
"8-2010",63.7850746268657
"8-2011",58.5340594059406
"9-2002",57.4692424242424
"9-2003",62.2925373134328
"9-2004",59.0767045454545
"9-2005",56.9596726190476
"9-2006",56.4744267515924
"9-2007",61.6546896551724
"9-2008",59.8867883211679
"9-2009",58.2985526315789
"9-2010",58.59
"9-2011",59.3418421052632
