"MonYear","Tone"
"1-2002",39.7582481751825
"1-2003",45.0471428571429
"1-2004",38.6283177570093
"1-2005",42.1977625570776
"1-2006",42.0622
"1-2007",41.2920506329114
"1-2008",41.7012432432432
"1-2009",39.1128321678322
"1-2010",56.7700854700855
"1-2011",50.9283251231527
"10-2002",37.5008620689655
"10-2003",47.7655555555556
"10-2004",56.5932258064516
"10-2005",46.6104469273743
"10-2006",43.2152760736196
"10-2007",45.99
"10-2008",46.2302173913044
"10-2009",47.7658461538462
"10-2010",48.3256923076923
"10-2011",40.6640229885057
"11-2002",41.6248979591837
"11-2003",44.6448387096774
"11-2004",44.0439534883721
"11-2005",44.7384210526316
"11-2006",46.1631805929919
"11-2007",42.246858974359
"11-2008",47.585046728972
"11-2009",48.1364122137405
"11-2010",42.0849473684211
"11-2011",51.4277586206897
"12-2002",46.8508256880734
"12-2003",45.1644680851064
"12-2004",50.1741739130435
"12-2005",42.0519065656566
"12-2006",44.0722402597403
"12-2007",50.0546082949309
"12-2008",48.8801612903226
"12-2009",51.7636507936508
"12-2010",42.1901408450704
"12-2011",40.70744
"2-2002",43.595
"2-2003",44.0956451612903
"2-2004",46.3955963302752
"2-2005",51.8518867924528
"2-2006",42.5393375394322
"2-2007",45.8436132315522
"2-2008",36.7028888888889
"2-2009",50.2082658959538
"2-2010",44.5257407407407
"2-2011",43.3031092436975
"3-2002",44.0952857142857
"3-2003",49.8460194174757
"3-2004",43.603786407767
"3-2005",46.3166423357664
"3-2006",46.1397556390977
"3-2007",46.0231845238095
"3-2008",47.1825555555556
"3-2009",44.05675
"3-2010",52.0803092783505
"3-2011",43.642397260274
"4-2002",47.5658333333333
"4-2003",18.2644117647059
"4-2004",44.4740740740741
"4-2005",53.5782644628099
"4-2006",43.3773046875
"4-2007",46.0384419263456
"4-2008",41.4047651006711
"4-2009",39.795628742515
"4-2010",41.4094736842105
"4-2011",40.621884057971
"5-2002",43.2508035714286
"5-2003",53.2055555555556
"5-2004",44.866
"5-2005",42.1813605442177
"5-2006",44.1169855072464
"5-2007",42.6338580246914
"5-2008",47.5759627329193
"5-2009",45.4402962962963
"5-2010",53.6221348314607
"5-2011",44.0407692307692
"6-2002",51.3840625
"6-2003",55.925652173913
"6-2004",41.7737113402062
"6-2005",44.7790449438202
"6-2006",42.2390615835777
"6-2007",45.7823316062176
"6-2008",50.6148314606742
"6-2009",46.549375
"6-2010",42.728904109589
"6-2011",37.6606451612903
"7-2002",34.714
"7-2003",30.3713333333333
"7-2004",42.2287640449438
"7-2005",43.241962962963
"7-2006",47.1446102449889
"7-2007",44.0376898734177
"7-2008",48.1551612903226
"7-2009",41.3047692307692
"7-2010",44.0351181102362
"7-2011",38.33512
"8-2002",47.0084210526316
"8-2003",43.4306382978723
"8-2004",44.7155789473684
"8-2005",37.479488372093
"8-2006",45.5643370165746
"8-2007",51.1515425531915
"8-2008",44.1087096774194
"8-2009",41.8439215686275
"8-2010",46.3329850746269
"8-2011",44.7545544554455
"9-2002",39.7715151515152
"9-2003",43.0376119402985
"9-2004",44.0719318181818
"9-2005",42.5590178571429
"9-2006",49.7525796178344
"9-2007",47.8413103448276
"9-2008",49.3399270072993
"9-2009",38.1302631578947
"9-2010",37.9891428571429
"9-2011",44.2407894736842
